Name,Tags,Assign To,Summary,Ticket,Type,💎 Milestones
Improvement Task,Not started,At_last,,24,☝️Inprovement,Test (https://www.notion.so/Test-1bae0364bfc381bb9349ef2bf3f0d68c?pvs=21)
"Test task ",Not started,At_last,งานทดสอบ,3,🙈Test Task,Test (https://www.notion.so/Test-1bae0364bfc381bb9349ef2bf3f0d68c?pvs=21)
Desing,Done,At_last,,9,🧑‍🎨Artist,Artist (https://www.notion.so/Artist-1bae0364bfc381e0ab2ae02dea43e3d0?pvs=21)
Feedback,Not started,At_last,,2,🦩Feedback,Review (https://www.notion.so/Review-1bce0364bfc38060b07cf67d533bcb04?pvs=21)
UX/UI Creation,Done,At_last,,5,🧑‍🎨Artist,Artist (https://www.notion.so/Artist-1bae0364bfc381e0ab2ae02dea43e3d0?pvs=21)
Bug,Not started,At_last,,1,🐛 Bug,Bugs (https://www.notion.so/Bugs-1bce0364bfc380819d55ce0aabedfcdd?pvs=21)
Debug,Not started,At_last,,10,🐛 Bug,Bugs (https://www.notion.so/Bugs-1bce0364bfc380819d55ce0aabedfcdd?pvs=21)
File Test,Not started,At_last,,12,🙈Test Task,Test (https://www.notion.so/Test-1bae0364bfc381bb9349ef2bf3f0d68c?pvs=21)
Code,In progress,At_last,,13,🧑‍💻Code,Code (https://www.notion.so/Code-1bce0364bfc380fab7e3dde01b6d7863?pvs=21)
GitHub Pages,Not started,At_last,,14,🧑‍💻Code,Code (https://www.notion.so/Code-1bce0364bfc380fab7e3dde01b6d7863?pvs=21)
Javascript,In progress,At_last,,15,🧑‍💻Code,Code (https://www.notion.so/Code-1bce0364bfc380fab7e3dde01b6d7863?pvs=21)
Jason,In progress,At_last,,16,🧑‍💻Code,Code (https://www.notion.so/Code-1bce0364bfc380fab7e3dde01b6d7863?pvs=21)
information,Done,At_last,About,17,📱Features,Features (https://www.notion.so/Features-1bce0364bfc380088531d9a37789e21c?pvs=21)
Links to social media,Done,At_last,About,20,📱Features,Features (https://www.notion.so/Features-1bce0364bfc380088531d9a37789e21c?pvs=21)
Button Blog,Done,At_last,About,21,📱Features,Features (https://www.notion.so/Features-1bce0364bfc380088531d9a37789e21c?pvs=21)
search,In progress,At_last,Home,18,📱Features,Features (https://www.notion.so/Features-1bce0364bfc380088531d9a37789e21c?pvs=21)
Header bar,In progress,At_last,"Home, Archive",22,📱Features,Features (https://www.notion.so/Features-1bce0364bfc380088531d9a37789e21c?pvs=21)
Categories,In progress,At_last,Archive,25,📱Features,Features (https://www.notion.so/Features-1bce0364bfc380088531d9a37789e21c?pvs=21)
Post,In progress,At_last,Home,19,📱Features,Features (https://www.notion.so/Features-1bce0364bfc380088531d9a37789e21c?pvs=21)
button bar,In progress,At_last,"Home, Archive",23,📱Features,Features (https://www.notion.so/Features-1bce0364bfc380088531d9a37789e21c?pvs=21)
Theme,Not started,At_last,"Home, Abut, Archive",26,📱Features,Features (https://www.notion.so/Features-1bce0364bfc380088531d9a37789e21c?pvs=21)
Code Review,Not started,At_last,,27,🦩Feedback,Review (https://www.notion.so/Review-1bce0364bfc38060b07cf67d533bcb04?pvs=21)
Code Refactoring,Not started,At_last,,28,🙈Test Task,Test (https://www.notion.so/Test-1bae0364bfc381bb9349ef2bf3f0d68c?pvs=21)
Performance Optimization,Not started,At_last,,29,🧑‍💻Code,Code (https://www.notion.so/Code-1bce0364bfc380fab7e3dde01b6d7863?pvs=21)
Bug Fixing,Not started,At_last,,30,🐛 Bug,Bugs (https://www.notion.so/Bugs-1bce0364bfc380819d55ce0aabedfcdd?pvs=21)
Documentation Update,Not started,At_last,,31,🧑‍💻Code,Code (https://www.notion.so/Code-1bce0364bfc380fab7e3dde01b6d7863?pvs=21)
performance test,Not started,At_last,,32,🙈Test Task,Test (https://www.notion.so/Test-1bae0364bfc381bb9349ef2bf3f0d68c?pvs=21)